Sales Person,Country,Product,Date,Amount ($),Boxes Shipped
Laura Pereira,Netherlands,First Aid Beauty Hello FAB Coconut Skin Smoothie Priming Moisturizer 125ml,2023-05-12,2897.49,55
Ana Vieira,Canada,The Ordinary Hyaluronic Acid 2% + B5 56.7g,2024-02-02,6212.3,316
Inês Martins,Thailand,Neutrogena Cellular Boost Concentrate Serum 150ml,2021-02-12,7230.63,117
Diogo Oliveira,Chile,COSRX Oil-Free Ultra-Moisturizing Lotion 30g,2024-08-11,9390.61,109
Rodrigo Pereira,Argentina,Bioderma Cicabio Arnica+ Repairing Cream 125ml,2023-09-14,5096.13,55
Francisco Vieira,Canada,First Aid Beauty Eye Duty Triple Remedy AM Gel Cream 50ml,2023-10-19,5026.42,88
Matilde Teixeira,China,Murad Brightening Booster 30g,2022-05-20,779.04,62
Maria Moreira,Canada,The Ordinary Natural Moisturising Factors + HA 20ml,2022-11-28,274.96,60
Lucas Santos,Spain,COSRX Balancium B5 Biome Comfort Cream 60ml,2021-03-18,6359.82,109
Ana Ferreira,South Korea,CeraVe Renewing SA Cream 30ml,2020-03-16,620.93,38
Mariana Martins,Indonesia,Pixi Hydrating Milky Serum 100ml,2020-06-15,13039.45,118
Catarina Correia,Germany,Clinique Dramatically Different Moisturising Lotion+ 75ml,2022-02-19,9041.44,94
Laura Pereira,Chile,Pixi +C VIT Brightening Serum 100ml,2023-08-04,2423.62,64
Ana Teixeira,Netherlands,CeraVe PM Facial Moisturising Lotion 20ml,2021-12-25,11831.29,131
Mariana Soares,Philippines,Neutrogena Hydro Boost Water Gel 150ml,2024-05-14,1644.57,48
Laura Soares,Mexico,Paula's Choice DEFENSE Antioxidant Pore Purifier 30g,2020-08-31,14147.99,125
Laura Soares,Argentina,Tatcha The Eye Concentrate 100ml,2024-12-08,30133.02,275
Afonso Almeida,Mexico,Kiehl's Calendula Serum-Infused Water Cream 200ml,2021-01-15,1223.82,28
Diogo Ribeiro,Singapore,CeraVe Healing Ointment 125ml,2021-11-22,1824.98,65
Francisco Vieira,Netherlands,Olay Super Serum 5-in-1 30ml,2022-04-28,6056.33,104
Leonor Jesus,Brazil,Clinique Moisture Surge 100H Auto-Replenishing Hydrator 30ml,2024-01-17,6550.27,112
Guilherme Neves,Germany,Bioderma Pigmentbio C-Concentrate Brightening Serum 30g,2023-08-31,820.27,89
Ana Monteiro,Italy,COSRX Balancium B5 Biome Comfort Cream 20ml,2024-04-13,5323.29,73
Guilherme Costa,Canada,Paula's Choice CLINICAL 1% Retinol Treatment 30g,2022-05-12,4267.49,75
Sara Almeida,Indonesia,Tatcha The Indigo Overnight Repair Treatment 250ml,2024-06-02,2614.8,132
Afonso Almeida,Sweden,Olay Total Effects 7-in-1 Moisturiser 125ml,2022-04-18,620.22,50
Beatriz Jesus,Indonesia,First Aid Beauty Pure Skin Face Cleanser 15ml,2024-11-01,2003.34,122
Francisco Vieira,Chile,Sunday Riley UFO Ultra-Clarifying Face Oil 340g,2020-01-09,5101.02,100
Sofia Rodrigues,Indonesia,Olay Luminous Whip Face Moisturiser 56.7g,2024-06-04,3101.9,76
Joana Fernandes,Philippines,La Roche-Posay Effaclar Mat Moisturiser 60ml,2022-04-16,7362.67,98
Pedro Ferreira,Mexico,Paula's Choice SKIN RECOVERY Replenishing Moisturizer 60ml,2022-12-25,12476.15,140
Carolina Pereira,Colombia,Pixi Vitamin-C Juice Cleanser 150ml,2024-05-26,10466.72,123
Tomás Neves,Sweden,REN Clean Skincare Perfect Canvas Clean Primer 75ml,2023-02-21,3986.0,451
Tomás Correia,Thailand,La Roche-Posay Effaclar Mat Moisturiser 50ml,2021-02-14,1829.4,55
Inês Cardoso,Singapore,Avène Hydrance Rich Rehydrating Cream 20ml,2020-04-29,1598.86,116
João Vieira,India,Tatcha The Dewy Skin Cream 15ml,2023-03-23,3345.59,231
Margarida Teixeira,Netherlands,Tatcha The Essence Plump Skin Softener 250ml,2021-06-26,14278.62,301
Pedro Cruz,Philippines,Tatcha The Silk Cream 250ml,2022-05-06,3126.53,55
Carolina Ferreira,France,Pixi Glow Tonic 30ml,2023-03-18,21190.83,193
Afonso Sousa,Singapore,First Aid Beauty Ultra Repair Cream 75ml,2023-09-23,2749.12,53
Maria Moreira,United Kingdom,Drunk Elephant B-Hydra Intensive Hydration Serum 75ml,2022-12-07,1371.68,13
Clara Mendes,Canada,REN Clean Skincare Ready Steady Glow Daily AHA Tonic 340g,2023-09-03,353.67,11
Maria Moreira,France,Tatcha The Dewy Skin Cream 340g,2023-04-08,8885.31,91
Gonçalo Coelho,Argentina,Neutrogena Hydro Boost Water Gel 56.7g,2020-04-07,10389.05,111
Rafael Gomes,South Korea,Bioderma Nodé Detox Shampoo 60ml,2023-02-11,5531.49,84
Guilherme Costa,Brazil,Olay Vitamin C + Peptide 24 Face Moisturizer 125ml,2021-04-15,5498.09,58
Leonor Rodrigues,France,COSRX AHA/BHA Clarifying Treatment Toner 40ml,2023-09-07,6943.15,103
Sara Ferreira,China,Murad Oil-Control Mattifier SPF45 50ml,2023-12-08,4876.25,100
Maria Moreira,Canada,COSRX Ultimate Moisturizing Honey Overnight Mask 250ml,2024-01-24,4862.67,42
João Nunes,China,La Roche-Posay Hyalu B5 Serum 340g,2020-03-08,6123.77,141
Gonçalo Coelho,Spain,The Ordinary Salicylic Acid 2% Solution 30ml,2023-06-13,9726.72,97
Rafael Gomes,India,Clinique Smart Night Custom-Repair Moisturiser 40ml,2021-01-20,12722.13,278
Diogo Monteiro,India,Neutrogena Hydro Boost Eye Gel-Cream 40ml,2024-02-05,1808.73,41
Miguel Ferreira,United Kingdom,Olay Vitamin C + Peptide 24 Face Moisturizer 60ml,2022-06-28,2579.45,30
Rafael Martins,Colombia,Drunk Elephant Lala Retro Whipped Cream 30g,2022-02-03,6029.95,74
Rafael Pereira,Singapore,Tatcha The Rice Polish Foaming Enzyme Powder 15ml,2020-02-11,10430.35,86
Mariana Soares,United States,Pixi +C VIT Brightening Serum 200ml,2024-07-16,12170.18,270
Carolina Jesus,Brazil,Pixi Skintreats Rose Caviar Eye Cream 60ml,2020-12-01,10202.2,341
Margarida Mendes,Netherlands,REN Clean Skincare Vita Mineral Active 7 Eye Gel 50ml,2023-06-03,4651.56,68
Clara Gomes,Indonesia,Skinceuticals A.G.E. Eye Complex 30ml,2024-04-13,9791.11,83
Tiago Gomes,South Korea,COSRX Full Fit Propolis Light Cream 50ml,2020-12-22,23310.54,447
Tomás Rodrigues,India,Olay Luminous Whip Face Moisturiser 56.7g,2020-12-01,1789.8,34
Francisco Jesus,United States,Sunday Riley Ice Ceramide Moisturizing Cream 250ml,2020-09-26,10887.3,145
Afonso Almeida,Colombia,Olay Retinol24 Night Moisturizer 125ml,2024-04-14,14749.12,214
Sara Cruz,South Korea,Murad Cellular Hydration Barrier Repair Cream 50ml,2022-07-02,3022.07,28
Francisco Mendes,Italy,Drunk Elephant Virgin Marula Luxury Face Oil 30g,2020-09-27,3886.66,132
Maria Correia,Spain,Skinceuticals Phyto Corrective Gel 40ml,2020-11-23,10441.51,162
Laura Costa,Mexico,Sunday Riley Ice Ceramide Moisturizing Cream 20ml,2023-06-06,6986.43,61
Afonso Vieira,Argentina,Clinique Turnaround Overnight Revitalizing Moisturizer 250ml,2024-02-20,462.01,73
Diogo Costa,France,Pixi Retinol Tonic 200ml,2023-08-27,41719.18,418
Ana Teixeira,Canada,La Roche-Posay Lipikar Balm AP+ 15ml,2021-05-07,814.01,144
Margarida Marques,Sweden,The Ordinary Buffet Multi-Technology Peptide Serum 200ml,2022-12-09,613.84,28
Inês Cruz,Singapore,Clinique Take The Day Off Cleansing Balm 50ml,2022-10-12,673.76,58
Laura Soares,United States,CeraVe PM Facial Moisturising Lotion 125ml,2022-06-13,1639.17,25
Afonso Martins,Indonesia,Tatcha The Eye Concentrate 75ml,2021-01-14,28570.07,262
Diogo Ribeiro,Singapore,Olay Luminous Whip Face Moisturiser 40ml,2021-08-27,3239.27,60
Francisco Fernandes,Colombia,La Roche-Posay Anthelios Invisible Fluid SPF50+ 75ml,2022-03-08,4588.47,141
Sara Ferreira,Poland,Neutrogena Norwegian Formula Face Cream 30g,2020-02-25,20991.21,239
Clara Monteiro,United States,Drunk Elephant Protini Polypeptide Cream 200ml,2021-10-13,28761.95,332
Carolina Jesus,United States,CeraVe PM Facial Moisturising Lotion 125ml,2020-12-26,769.69,64
Joana Santos,France,Olay Super Serum 5-in-1 200ml,2023-08-13,2198.77,29
Diogo Rocha,Philippines,Sunday Riley Luna Sleeping Night Oil 200ml,2022-10-15,9610.43,118
João Cardoso,China,Pixi Retinol Tonic 150ml,2021-10-31,10195.45,98
Beatriz Marques,South Korea,Paula's Choice RESIST Anti-Aging Clear Skin Hydrator 125ml,2020-05-11,198.19,39
